text,
"pengiriman gk seperti biasa nya yg cepat, yg ini agak lambat. biasa nya memakai JN* barang datang tidak di packing kayu...  sempat was was jg.. apalagi kurir nya ngantar cm pakai motor aja bawa nya. tp setelah di buka.. aman...  tp yg jd pertanyaan saya .. apa bener ini smart tv ??????",isi ini ya ges (positive/neutral/negative)
Pengiriman 3 hari ke bdg.. Barang sesuai.. Barang mulus tak ada sedikitpun cacat.. Tv ya mantap... Mun cek rang bandung mah sae pisan... Mudah mudahan awet... Makasih lazada... Ninja expres,isi ini ya ges (positive/neutral/negative)
"Paketnya sudah sampai, dalam keadaan aman selamat. Semoga awet dan tahan lama. Terima Kasih Lazada dan Coocaa.",isi ini ya ges (positive/neutral/negative)
"produk sangat bagus,, bezel less suara cukup ok.. pengiriman cepat.. satu hari sudah sampai.. bubblewarp bisa lebih tebal lagi agar semakin aman.. sejauh ini semua lancar,, trims coocaa lazada..",isi ini ya ges (positive/neutral/negative)
trimakasih lazda dan selernya.. tv sudah sampe dengan selamat dan sangat cepat sampe gunungkidul...kurir jg ramah saya suruh nunggu sebentar ngecek tv nya sampe nyala.. walaupun g di paking kayu Allhamdulilah aman,isi ini ya ges (positive/neutral/negative)
"Product diterima dalam kondisi baik dan berfungsi cukup puas, tetapi tidak ada kartu garansi padahal harus dikirim dalam waktu 14 hari setelah barang diterima, harap dijelaskan dan sekalian dicatat garansinya",isi ini ya ges (positive/neutral/negative)
"Bagus, sesuai harga.. Mengganti kekecewaan sy dr oesanan yg di batalkan beberapa waktu lalu..  Pengiriman cepat 2 hari sampai, Kayanya mau beli lagi semoga ada promo yg baguuus Terima kasih lazada",isi ini ya ges (positive/neutral/negative)
"Alhamdulillah barang telah sampai ke tangan saya. untuk kualitas mantul abiiisss.... tampilan gambar full HD mantap bget utk harga segitu, untuk pengiriman sangat memuaskan.... barangnya di packing pake kayu, overall top MARKOTOP",isi ini ya ges (positive/neutral/negative)
"Pengiriman Super cepat. Tapi sayang Ongkos kirim Mahal banget. Barang OK, tanpa cacat. SEMOGA AWET SAMPAI 2 thn Lebih... MAKASIH NINJA",isi ini ya ges (positive/neutral/negative)
"apik rapih tanpa kerusakan walaupun sedikit lambat pengiriman nya dan barang berpungsi dgn baik, tks lazada",isi ini ya ges (positive/neutral/negative)
"Mantap. Barang oke,",isi ini ya ges (positive/neutral/negative)
"rusak fisik, layar led pecah dan baret2. baru prtama beli malah kaya gni. jd nyesel.. smoga proses refund berjalan lancar.  sudah tau fragile, kenapa tidak dipacking kayu?",isi ini ya ges (positive/neutral/negative)
"Pros :  *MURAH MERIAH (saya dapat 1,8juta + voucher) *Layar lebar dan tajam 1080p dan lumayan bezel less *Speaker suara lumayan bagus karena ada pengaturan bass - treble - surround sound dll *Termasuk hemat daya untuk ukuran 40"" *Tersedia banyak colokan HDMI, USB , dll Cons :  *Bahannya kopong karena dominan material body dari plastik ringan terutama kaki (hati-hati jangan tersenggol karena ringkih!) *Cuma tersedia 2 lobang untuk baut ke dinding (untuk ukuran 40"" merk selain coocaa semua minimal 4 lobang baut) *Layar sangat amat gampang meninggalkan sidik jari apabila disentuh *PENGIRIMAN TANPA PACKING KAYU HANYA BUBBLE",isi ini ya ges (positive/neutral/negative)
"tidak ada kartu garansi, tidak ada nota, padahal untuk klaim garansi diservis center butuh kedua hal tersebut",isi ini ya ges (positive/neutral/negative)
produk nya bagus .. cm pas pengiriman nya tanpa palet kayu.. jadi takut knpa2 dengan layar nya.. tp alhasil bagus tanpa kendala. terima kasih...,isi ini ya ges (positive/neutral/negative)
"ninja expres 3 hari sampe, pengiriman dari sidoarjo ke sragen, walau cuma dibungkus bublewrap barang aman sampe tujuan, semoga barang awet",isi ini ya ges (positive/neutral/negative)
"bagus...gambar tajam, suara oke...",isi ini ya ges (positive/neutral/negative)
Alhamdulilah baranh sampai dengan selamat dan sudah dicoba kaya nya ngga ada kendala..untuk sementara sy kasih bintang 4 dlu soalnya baru sehari semoga tdk trjadi apa2 🙏😊,isi ini ya ges (positive/neutral/negative)
"alhamdulillah paket nya datang dgn selamat... packing is the best, kurir ramah, dan kualitas bgs...  makasih lazada, cooca dan ninjaekspres",isi ini ya ges (positive/neutral/negative)
"Ciamix mix mix mix.. Gambarnya cuc0k gak kalah dgn tv bermerk sem0ga panelnya Uawet, Tanksyu LAZ COOCAA",isi ini ya ges (positive/neutral/negative)
"alhamdulillah barangnya sudah saya terima,  terimakasih  coocaa, Lazada dan Ninja,  sesuai harapan.  tak ada lecet sedikit pun sungguh sangat puas apa yang telah diberikan layanan sangat baik oleh coocaa lazada dan Ninja",isi ini ya ges (positive/neutral/negative)
"Alhmdulilahh mendarat dengan aman.. kwalitas bagus dua""ny gak mengecewakan.. makasih lazada sama coocaa",isi ini ya ges (positive/neutral/negative)
"tv nya oke bgt dapet harga promo lagi,dan untuk pengiriman luar biasa cepat nya pesan Sabtu siang sampai Minggu siang padahal keluar kota.Puass sangat lah pokok nya..👍👍",isi ini ya ges (positive/neutral/negative)
"alhamdulillah barang cepat sampai mulus 1000% gambar bagus jadi luas pandangannya, thanks lazada😘😘😘",isi ini ya ges (positive/neutral/negative)
"Alhamdulillah barang sampai dalam kondisi baik, walaupun sempat khawatir juga karena penriman menggunakan sepeda motor, cuma pengiriman cukup lama selama 7 hari. mudah2an barang awet. trimk lazada & coocaa",isi ini ya ges (positive/neutral/negative)
"dapet harga 2.4 gpp deh... yg penting tv sampai rumah tanpa lecet sedikitpun. bisa di nyalakan dengan normal dan perangkat lengkap. tp, ada sedikit minus nih, di tv nya gk ada tombol power, volume, navigasi atau menu lainya. jadi kalo remot rusak atau hilang, udah g bisa nonton tv :(",isi ini ya ges (positive/neutral/negative)
"alhamdulilah nyampe dengan selamt ,bagus  maksih lazada selalu memberikan yang terbaik,makasih juga ninja dah ngasih pelayana yang baik",isi ini ya ges (positive/neutral/negative)
"keren.. tak ada cacat sedikitpun. awalnya tv gak nyambung k digital, tp setelah di program baru deh. semoga awet yoo",isi ini ya ges (positive/neutral/negative)
Tolong bantuannya barang yang saya terima dengan packing kayu dan terlihat baik baik saja setelah saya buka ternyata isinya pecah dan tidak bisa digunakan..senang saat melihat barang pesanan tiba tapi sedih saat melihat isinya ternyata pecah dan tidak bisa digunakan..,isi ini ya ges (positive/neutral/negative)
Barang sampai 5 hari tanpa packing kayu. setelah di cek sangat mengecewakan. layar nya ada bayang-bayangan hijau. kartu garansi jufa tidak ada.. tolong gimana caranya biar bisa ditukar dengan unit yg baru atau dikembalikan uang saja..,isi ini ya ges (positive/neutral/negative)
"SIAP Perintah komandan, muaaassoookkk Pak ekooooo, sampai di BANYUWANGI aman terkendali, terima kasih",isi ini ya ges (positive/neutral/negative)
sticker baut untuk garansi bolong itu aja kekurangannya. jika ada kerusakkan tidak masalah kan dengan garansi karena sticker bolong.???,isi ini ya ges (positive/neutral/negative)
"Pengiriman cepat sesuai pilihan, good. Sesuai deskripsi. Recommended seller. Packing good. Terima kasih :) Jember sehari sampeee. puassssssssssssssssss",isi ini ya ges (positive/neutral/negative)
"Awal deg degan, ninjaXpress benar2 kayak ninja. ga ke deteck . pas Dateng masih deg2an ternyata ga pake kayu, bilangnya pakai kayu,.... tapi Alhamdulillah normal tanpa lecet",isi ini ya ges (positive/neutral/negative)
pengiriman cepat sangat puas dengan tvnya 4 hari sampe ke Aceh tpi kardusnya rusak untung tv-nya ga ap ap,isi ini ya ges (positive/neutral/negative)
"Mantep. Kota magelang......pesen 12 juli, sampe rumah 15 juli...bayar di tempat. Packing aman, barang bagus...promo pas harga murah. Pokokmen JOSS",isi ini ya ges (positive/neutral/negative)
Alhamdulilah TVnya dah nyampe walaupun harus di jemput sendiri. karena kurir takut bawa pake motor. gambarnya bagus. coocaa LED TV  harga murah tapi bukan murahan semoga barangya awet tahan lama,isi ini ya ges (positive/neutral/negative)
"Alhamdulillah TV nya bagus, packingnya walaipun gak pake kayu hanya pakai bubble wrap tp aman selamat sampai tujuan dan mudah2an gak ada masalah sama sekali biar tambah puas",isi ini ya ges (positive/neutral/negative)
barang diterima dalam kondisi baik dan langsung di test dengan kurir nya... walau agak ragu karena cuma lapis bubble wrap tanpa packing kayu..  kurir ramah.. semoga awet..,isi ini ya ges (positive/neutral/negative)
"ini memang tv biasa bukan yang smart tv, tapi dengan harga segini saya ga kecewa, semoga saja beruntung tv nya awet bertahan lama sampai garansi habis, sayang ga ada bonus apapun, coba dapet kabel hdmi dan braket, btw terima kasih banyak hanya dalam waktu 1 hari langsung sampai ke depok",isi ini ya ges (positive/neutral/negative)
Ini pembelian televisi ini yg kedua. Seller fast response. Paket lebih cepat sampainya daripada prediksi. Good job lazada & ninja xpress,isi ini ya ges (positive/neutral/negative)
"Hy dek, brgnya udh sampek,, dan dgn hrg segini okeh lah pokoknya,, smoga olshopnya larissss dan sukses yah,, god bless more🙏",isi ini ya ges (positive/neutral/negative)
"trimakasih tvnya udah nyampe tadi pagi jam 10&pokoknya mandul bwt lazada,langsung dicoba semua oke.ponakan lagi nonton bareng film anak-anak.",isi ini ya ges (positive/neutral/negative)
"owkey, pengiriman cepat, aman, dan sesuai harapan, dalam hati ma mulut singkron untuk mengatakan PUAS",isi ini ya ges (positive/neutral/negative)
mks lazada aku suami n anak aku suka.. dtang sore mlemnya aku cri yg tukang setting chanel.tvny dpet smua pkokny mantaplah...love love love dech...,isi ini ya ges (positive/neutral/negative)
"pengiriman cepet dan aman, TV nya juga Bagus Mudah²an awet, thanks Lazada udah kasih diskon gede sama Ninja yg udah kirim paket nya cepet dan aman",isi ini ya ges (positive/neutral/negative)
"alhamdulilah pkt sudah datang. dan aman tanfa kendala. trimkasih lazada, triksh buat tokonya, dan semoga tv nya awet.. pokonya mantullll....",isi ini ya ges (positive/neutral/negative)
"Alhamdulillah pesanan sudah diterima dengan baik. Dipesan kamis, hari sabtu sudah diterima. Terima kasih Lazada. Terima kasih juga Ninja kurirnya ramah.",isi ini ya ges (positive/neutral/negative)
"semua sangat direkomendasikan, produk, lazada, kurir pengiriman, barang diterima dengan kondisi aman dan berfungsi dengan baik, terima kasih atas layanannya",isi ini ya ges (positive/neutral/negative)
Kwalitas dan harga sesuai ...  sampai dgn selmat 2hr setelah order ... tanpa lecet tanpa rusak ... hanya blm cek kartu garansi dan nota pembayarannya ada atau tidak ...,isi ini ya ges (positive/neutral/negative)
"terimakasih LAZADA, tv sudah sampe. Packaging rapi, kurir NINJA ramah, order dinihari nunggu sehari, hari ke dua sudah sampe. terimakasih",isi ini ya ges (positive/neutral/negative)
"pengiriman cepat banget baru pesen malam 21:30 besok sore nya 15:00 sudah sampai....sering"" ada promo seperti ini yahhh☺",isi ini ya ges (positive/neutral/negative)
Mantaapppppppp..harga segini kualitas maknyossss..packing mantap..kurir dr Ninja Xpress juga ramah sekali..Saya puas bgt...terimakasih lazada...,isi ini ya ges (positive/neutral/negative)
"Super happy, pengiriman sangat cepatttttt dan ga ada masalah. Bayar selasa pagi, rabu sore udah sampe!! Recomended. Layar jernih. Semoga tv nya awet ga ada masalah",isi ini ya ges (positive/neutral/negative)
"Respon kirim super kilat. pesan 14 mei, nyampe 15 mei. Packing walaupun tidak pake paking kayu aman banget,.",isi ini ya ges (positive/neutral/negative)
"barang sudah diterima dg baik. kirim ke rumah bpk, sempat khawatir ternyata packingnya aman kata beliau dan semua uda dites, oke. dan yg plg ptg layar TV aman, tdk ada pecah atau retak. cuman, sepintas kok ya kayak TV lama ya..hehehe..Terima kasi Lazada, jd mau beli TV lagi kalau aman gini.",isi ini ya ges (positive/neutral/negative)
"TV dah nyampe kemaren malam jam 21, 40..semalem baru di coba alhamdulillah tV nya bagus ga ada kekuranga  nya.., mudah ""an awet ya? Untuk abang kurir nya baik ramah di comfir masih dulu pas mau nganterin paket.. pengiriman 2 hri dri malam saya pesan",isi ini ya ges (positive/neutral/negative)
barang sudah di terima alahmdulilah bagus ga ada cacat sama sekali kurir nya ramah cuman aga lama datang nya terima kasih lazada,isi ini ya ges (positive/neutral/negative)
"TV LED Coocaa 40"" pesan tgl. 7 Januari 2019 dan diterima tgl. 31 Januari 2019, diterima dalam keadaan BAIK, LENGKAP dan BERFUNGSI sesuai deskripsi.  Kelebihan TV ini tentu saja karena layar besar 40"", anak saya sangat senang, tampilan warna tajam, smooth, clear HD, Harga Murah tetapi tidak Murahan utk kualitas sbgmana gambar upload, Ongkir murah/gratis di LAZADA dibanding Outlet Online lainnya.  Kekurangan terletak pd suara yg masih Mono, agak cempreng namun dpt diatasi dgn tambahan eksternal stereo speaker, selanjutnya ekspedisi Ninja Express ID yg ditentukan harus lebih meningkatkan kualitas pelayanannya lagi, karena telah melebihi limit estimasi tgl. 16 Januari 2019.  Overall, rekomended produk, terima kasih Ninja Express ID, LAZADA dan COOCAA.",isi ini ya ges (positive/neutral/negative)
"Tvnya cantik besar , tidak ada komplain. barang 2 hari nympe.kemedan. kalo mau nengok maen maen kerumah 😁",isi ini ya ges (positive/neutral/negative)
"Produk bagus dan tidak mengecewakan, puas belanja disini. Packing juga dari kayu jadi tv nya aman bgt. Thanks lazada 😍",isi ini ya ges (positive/neutral/negative)
"Produk coocaa  sangat memuaskan konsumen,dicoba langsung ga da kendala,pertahankan kepuasan konsumen agar usaha anda semakin maju dan tambah sukses.thank you  lazada dan seller coocaa",isi ini ya ges (positive/neutral/negative)
"1. produknya jelek, layar tergores. cacat produksi. toko sengaja menjual yg cacat saat ada discount. pengen tukar tapi gak tau caranya?. 2. Surat Pembelian tdk ada, utk klem Garansi..betul2 tokonya gak bertanggung jawab, masa barang tdk ada surat pembeliannya?",isi ini ya ges (positive/neutral/negative)
"alhmdulillah dah nyampe barang nya pesan tgl 23 nyampe tgl 24, terima kasih lazada, trimakasih ninja expres semoga barang nya awet... aamiin",isi ini ya ges (positive/neutral/negative)
"wuooowww... harga nya fantastis.. untuk 40"", deliverynya Profesional banget, cepet beneer. untung ada orang dirumah wkwkw, kardus dan bubblewarp nya utuh muluus.. dan TV nya..wow it's a flawless. Love it. dan yg paling GOKIL.. it's a daammnn 1080p wuuhooooo.. ahahaha i'm so happy.. terimakasih Coocaa and Lazada, suksess selalu (Y)",isi ini ya ges (positive/neutral/negative)
Selamat ulang tahun lazada yang ke 7 semoga menjadi pilihan belanja online terbaik... terimakasi lazada dan coocaa indonesia ini kami sekeluarga sudah beli tv yang ke 5,isi ini ya ges (positive/neutral/negative)
"Alhamdulillah..paket sudah kami trima dlm keadaan baik, gambarnya bagus, kurirnya ramah, trimakasih Lazada..",isi ini ya ges (positive/neutral/negative)
"pesan tgl 21, tgl 23 sudah nyampe rumah dari jatim ke Jateng, gak pke kayu tapi alhamdulillah  barang nyampe rumah dengan selamat",isi ini ya ges (positive/neutral/negative)
cepat bgt sampainya....pemgiriman ke magelang cuma 3hr pdhl COD....barang sampai packing babble...trimakasih lazzada...mdh2an barang awet...,isi ini ya ges (positive/neutral/negative)
"packing aman dan rapi. isi lengkap, gaada yg tertinggal. nyampe dengan selamat. pengiriman cepat untuk jarak ke Aceh, cuma 3 hari. suara tv nya bagus dan enak untuk didengar. FHD tv, kualiatas gausah ditanyakan. Overall, keren banget untuk Coocaa Tv dan Lazada",isi ini ya ges (positive/neutral/negative)
"dapat potongan dr flas sale. barang bagus, tepat waktu pengirimannya. namun suara kurang bagus karwna sesuai harga..",isi ini ya ges (positive/neutral/negative)
"barang berfungsi dengan baik, hanya saja pas saya beli harga 2,5jt namun hari berikut nya turun jd 2,2jt saja lumayan turun 300rb",isi ini ya ges (positive/neutral/negative)
"Alhamdulillah  pesan tangal 24. Tangal 25 udah nyampe  Mudahan awet ea ,  baut buat dudukan tv gx ada,   jadi blum di pasang.  Tapi yng penting tv nya bagus terimakasih. Penjual amanah pastil ancar rizxi",isi ini ya ges (positive/neutral/negative)
"agak kecewa sama ekspedisi yang terlalu lama, bahkan melebihi estimasi dari puhak lazada H+1 ekspedisi alhamdulillah barang sampai, packing kayu, aman ga ada lecet dan macemacem, sejauh ini barang masih oke punya , dpt flash sale, harga lumayan oke, kualitas standar led tv pada umunya, suaranya juga cukup oke,cukup ya, tapi dari segi harga, ini worth it banget, harga tanpa flash sale pun masi bisa d bilang worth it, cuman sayang kalau di sambung ke pc, alias jadi monitor, tidak bisa full hd, krn layar terpotong ga tau kenapa, jadi harus kompensasi sdiiit turunin resolusi di 1600px, tapi ga terlalu jadi masalah, terimakasih lazada, barangnya oke, CS nya ramah sampe di telfon 2x setelah laporan barang lambat datang, semoga barangnya awet2 aja",isi ini ya ges (positive/neutral/negative)
ini tv coocaa 40 in yg ke 2 ku beli ..yg ke 2 pengiriman agak lama..yg saya sayangkan kenapa ada baret di bagian bawah tv..kayak barang reject-an aja..bsa diganti gak ya..,isi ini ya ges (positive/neutral/negative)
"Pesan kamis malam,.jumat siang barang datang,.sudah dites normal,.mantap jiwa,.terima kasih banyak,.",isi ini ya ges (positive/neutral/negative)
"dilaur ekspektasi saya untuk ukuran 40"" dengan harga 2,2 juta pas promo...termasuk bisa anterin ke kabawetan, kepahiang, bengkulu dengan ongkir 100 ribu...deg2an juga masalah packingnya soalnya gak di packing kayu, cuna dikasi bubble warp aja...untungnya aman gak ada masalah..setelah dites semua berfungai dengan baik..semoga awet..untuk ukuran layar 40"" dengan harga 2,2..totally worth it...",isi ini ya ges (positive/neutral/negative)
terima kasih lazada... akhirnya dapet tv murah tapi kualitas jya bagus bgt... thanks juga coocaa indonesia,isi ini ya ges (positive/neutral/negative)
tv nya keren... haraga murmer... udah flash sale dapat diskon toko dan vocher pula.. terima kasih lazada dan seller,isi ini ya ges (positive/neutral/negative)
"Menurut saya yg awam denga TV, secara yampolam desain dan gambarnya, ini TV kayaknya sama aja seperti TV mahal pada umumnya. Keren!! kalo suaranya si biasa aja (gak terlalu pengaruh si, soalnya pake speaker aktif). Kualitas pruduknya sendiri; mantap, kokoh, jauh dari kata ringkih. Oh iya, Plpackingnya jg Ok. Barang aman!!!",isi ini ya ges (positive/neutral/negative)
Barang sudah sampai... Mantap deh LED TVnya :) semoga awet :) Bermodal 20rb bisa jadi Smart TV (lebih smart dari Android TV :v dengan harga terjangkau :),isi ini ya ges (positive/neutral/negative)
"Seller GAK respon ke pembeli sama sekali, padahal minta tolong paking kayu karena perjalanan jauh tapi malah gak diread, tapi untunglah barangnya gak ada masalah sama sekali",isi ini ya ges (positive/neutral/negative)
1. Gambar sebagus merk2 mahal. 2. Suara kenceng 3. Sedang order set top box dvb T2 agar dpt siaran digital n semakin puas nonton TV gede nya... 4. Recommended TV  5. Sudah dicoba input USB dan HDMI lancar jaya n sampai saat ini tidak ada kendala dgn fungsi2 TV nya Trm kasih Coocaa n Lazada,isi ini ya ges (positive/neutral/negative)
barang bagus.. packing bubble wrap.,isi ini ya ges (positive/neutral/negative)
"Tv sangat value for money, harga termurah untuk ukuran 40 inch, gambar sangat tajam karena sudah support 1080i 60hz, kualitas suara biasa aja kurang bass, secara keseluruhan saya sangat puas dengan tv ini... saran : mohon ekspedisi ninjaxpress untuk dievaluasi, karena pengiriman sangat lama dan ada sedikit masalah",isi ini ya ges (positive/neutral/negative)
Beli tgl 8.8. sampai tgl 11 ke Bandung. lumayan cepat. barang datang tanpa cacat sedikitpun. mudah-mudahan awet. prodak bagus. 👍,isi ini ya ges (positive/neutral/negative)
Alhamdulillah tv udh sampe dgn selamat  makasih buat lazada coocaa dan kurir jnenya juga ramah  pokoknya mantaaaaap dahhhhh,isi ini ya ges (positive/neutral/negative)
Gambar bersih warna cerah.. barang sesuai dengan harga dan saya tidak kecewa.. hanya pengiriman saja yang agak lama.. estimasi sampai tgl 20 tapi baru saya terima tgl 22... Terimakasih,isi ini ya ges (positive/neutral/negative)
"Product tiba dgn selamat dan tepat waktu. Top dah TV COOCAA 40"" dan NinjaXpress wlpun awalnya ragu dgn jasa ini, tpi tiba dgn selamat dan Utuh. Recomended 👍👍",isi ini ya ges (positive/neutral/negative)
allhamdulillah paket nya sudah saya terima..harga murah.Warna Tv sgat bagus.pengiriman nya sangat cepat.3 hari ...thank Lazada Saya Dari Aceh...,isi ini ya ges (positive/neutral/negative)
"sering2 bikin flash sale begini untuk barang2 yg lain ya, mantap produknya, pengirimanny juga cepat, sayang ongkirnya ga gratis lagi 😀",isi ini ya ges (positive/neutral/negative)
"baru pertama nyoba belanja online deg deg kan tapi mantaappp pelayanannya senin order rabu udah nyampek  barang jga aman paking rapat kurir ramah  langsung di tes normal semua, goood semoga awet tanks lazada",isi ini ya ges (positive/neutral/negative)
TVny dah sampai dgn selamat gambar okee+tajam gambar ap g kecewA puas bingidd lg pengiriman JNE ny amanah banget kerjasama yg baik lazada dan JNE  terima kasih  banyak y semoga akan selalu berjaya dan amanah y sukses terus,isi ini ya ges (positive/neutral/negative)
"Awal liat iklannya di sosmed kirain boongan harganya segitu, dan ya kirain kualitasnya jg pasti pas2an. Tapi pas terima agak suprise jg sih, ternyata boxnya cukup ok desainnya kayak tv2 mahal gitu. Jadi nambah penasaran sama produknya. Overall kasih 2 jempol sih. Udah unboxing dan test nonton film bluray fullHD kualitas gambarnya mantap, suaranya jg bagus ga beda sama brand terkenal yg dipunya sebelumnya dan skg lagi rusak. Subtitelnya muncul sempurna. So far oke banget sih. Dan terakhir, kecepatan kirimnya lazada keren bgt. Pesan kemarin hari ini udh sampe dirumah. Semoga awet. Terimakasih lazada untuk produk bagusnya",isi ini ya ges (positive/neutral/negative)
"tv sudah sampai tapi kurir yang ada di kota Lubuklinggau, dari ninja ekspres kurang sopan, 1. disuruh ambil sendiri di loket. 2. waktu mengantar paket tidak ramah. harap diperhatikan lagi. terimakasih",isi ini ya ges (positive/neutral/negative)
"Luar biasa, kualitasnya berasa pakai TV 4 jutaan. Support video Full HD 1080p 60 Fps, Gambarnya jadi tajam dan smooth. Untuk hasil gambar yang lebih maksimal tinggal ubah sedikit pengaturan Kecerahan, Kontras, Warna, dan Ketajamannya. Perfect deh. Putar film via USB juga lancar, support subtitle juga, tinggal download subtitlenya sama seperti di PC. Main PS4 pun lancar jaya secara TV ini sering dipake sama rental PS.",isi ini ya ges (positive/neutral/negative)
"kualitas lebih baik dari harga. kalau dibanding merk lain mungkin sesma 40 inch kalah dari segi suara dan kejernihan. tapi dari segi harga lebih baik, g ada saingan",isi ini ya ges (positive/neutral/negative)
"barang bagus, harga murah tp kualitas mahalan, desain oke,suara mantap,pokoknya puas deh sama barangnya.👍👍👍",isi ini ya ges (positive/neutral/negative)
"Semoga awet.., sudah 2x beli tv cooca via lazada.., kecewa dgn ninja van id.., pengiriman tidak bisa ke kekecamatan dengan alasan tidak ada mobil.., jadi harus ambil sendiri ke kabupaten..,, harap di berikan opsi pengirman jangan pakai ninja",isi ini ya ges (positive/neutral/negative)
estmasi nya sbtu bsk tp hr ii udh dtg cepet bgt kelampung utara yg jauh dr kota n tv nya baik2 aja dkemas dg baik rapihh kurir jg kocak mantabs tv bnya mumer si kata ak soalnya dsn tv 40incs 4.5jt an ini bs beli 40inc dg 2.499 😊,isi ini ya ges (positive/neutral/negative)
"Alhmdlh barang dah sampe. Pesan kamis malam sabtu siang dah nyampe. Setelah semua di cek semua dlm keadaan bagus mulai dari buku panduan, remot, kaki kaki semua lengkap tdk ada yg cacat. Kurir jg ramah bngt... Mksh lazada dan jg ninja expres...",isi ini ya ges (positive/neutral/negative)
"baru sempet kasih ulasan.. produk sangat worth it untuk harga segini, semua fitur berjalan sesuai fungsinya, respon seller juga cepat. overall puas dengan produk ini.",isi ini ya ges (positive/neutral/negative)
"mantap... paking aman pakai kayu,, lanngsung di coba tidak ada yg lecet,, terima kasih lazada biarpun kurir nya jne tapi bisa COD,,, semoga awet sampai bosan makek nya",isi ini ya ges (positive/neutral/negative)
Sampai dengan selamat ke aceh timur. Sangat murah utk ukuran 40 inch. Trmksh coocaa,isi ini ya ges (positive/neutral/negative)
"Barang sesuai deskripsi dan pesanan, sayangnya pengiriman agak lama harus transit dulu ke jakarta gak langsung ke banjarmasin, dan pakingnya gak pakai kayu syukurnya TV nya di tes Normal semua.",isi ini ya ges (positive/neutral/negative)
"pas di terima paketnya rusak plastiknya,minta di cek takut knapa2,lagipula COD eh kurir JNE nolak,misalnya klo rusak bisa di refund,padahal biasanya barang datang bisa cek kondisi dalamnya ini malah gak boleh,untungnya pas di coba dan kondisi dalamnya aman.dikirain saya kemasannya pakai packing Kayu,3 hari baru sampai bagi saya lama tuk ke tangerang.biasanya pesan malam besok pagi datang,ini harus tanya cs lazada barang dalam proses,tingkatkan lagi pengirimannya",isi ini ya ges (positive/neutral/negative)
"baru unbox, di tes bergaris mau urus garansi ribet bet bet bet mana service center ga yg di jakarta atau di daerah sama2 bertele2, ga jelas coocaa orange mau jual online tp after sales nya buruk. garansi 3 tahun hanya tulisan saja sperti nya -_-",isi ini ya ges (positive/neutral/negative)
barang sdh sampai dgn selamat mulus tdk ada cacat walau packing cuma bubble wrap.pengiriman cpt k krwng psn mggu kamis sdh dtg semoga awet recommended seller,isi ini ya ges (positive/neutral/negative)
"barang baru sampai packing rapih bubble warp tapi ga terlalu tebal dan sayangnya bukan packing kayu,sudah di coba dan lancar mudah2an awet dan gaada kendala apapun thanks coocaa indonesia . untuk kartu garansi dimana ya ?",isi ini ya ges (positive/neutral/negative)
"sempet deg deg2an baru pertama order via lazada,  akhirnya nyampe juga, pesen 11.11 nyampe 14.11, dah ternyata gka pake packing kayu,, makin deg degan.. tpi alhamdulillah nyampe selamat .. mudah2an gda yg cacat. tq LAZADA",isi ini ya ges (positive/neutral/negative)
"barang sampai dengan aman gx ada yg cacat smua berfungsi, mkasih buat lazada n jne  tv coocaa.nya mantap👍😍😍",isi ini ya ges (positive/neutral/negative)
brang dtang bqaik pesan tanggal 11 datang 13 jam 9.30 malam ... barang bagus non cacat... sempet ketar ketir pake ninja van  kayak digantungin aja bikin nunggu gpssti .. tpi alhamdullilah ditunggu dr 2 hari dateng juga..barangnya bagus ganyesel beli disini,isi ini ya ges (positive/neutral/negative)
Nice..  nda sangkah barang 2 hari sudah sampai dimanado..  packing kayu...  sangat puas dengan pelayanan Lazada,isi ini ya ges (positive/neutral/negative)
Cepat Tepat Akurat Terpercaya Pas Mantap Sesuai Deskripsi Harga Bersahabat Terjangkau Murah Diskon 11.11 Pembayaran COD Packing Aman Sentosa Bubble Wrap Kurir Ramah TV Panjang Besar Gambar Memukau Suara Bagus Semoga Awet Berkah Bermanfaat Sukses Selalu Terimakasih 💪😎👍⭐⭐⭐⭐⭐🙏😄😍😁😸😅😂😹,isi ini ya ges (positive/neutral/negative)
"kereeen. pengiriman super fast , nyampe di hari yang sama. pesan jam 00.00 sampe jam 17.30 . kualitas oke , udah dicoba. semoga aweeeet!!!! thank you lazadaaaaa❤",isi ini ya ges (positive/neutral/negative)
"merk baru tapi punya kualitas material body yg bisa dibilang bagus, kalau diliat dari segi harga+fitur/spesifikasi. selama dipake lebih dari sebulan ""no komplain""",isi ini ya ges (positive/neutral/negative)
"Mantaaaaaaaaaap. Pengiriman supeer dupeer cepaaat, aman juga karena pake packing kayu. 2 hari aja langsung mendarat mulus di kalimantan selatan. Terimakasih Coocaa, terimakasih lazada, terimakasih JNE. TV full HD 40” dengan harga paling worth it.",isi ini ya ges (positive/neutral/negative)
"barang nyampai dgn selamat, speker keras .tv besar kelihatan mewah hehe .. tapi pixel kurang jdi gambar kurang jernih .. pengiriman cepat *bintang 5 deh *****",isi ini ya ges (positive/neutral/negative)
Awal mau beli agak ragu dgn harga 2jtan apa iya dapet bagus? Ternyata dgn harga 2jtan dapet kualitas yg ga kalah bagus dari merk lain. Over All Puas untuk TV ini. Pengiriman juga sesuai Estimasi. Thanks Lazada,isi ini ya ges (positive/neutral/negative)
